Iteracja: 0 | x1: 1 | x2: 1
Iteracja: 421 | x1: 0.635144 | x2: 0.750225
Iteracja: 422 | x1: 0.634344 | x2: 0.749851
Iteracja: 423 | x1: 0.633546 | x2: 0.749479
Iteracja: 424 | x1: 0.632748 | x2: 0.749108
Iteracja: 425 | x1: 0.631951 | x2: 0.748739
Iteracja: 426 | x1: 0.631154 | x2: 0.748371
Iteracja: 427 | x1: 0.630359 | x2: 0.748004
Iteracja: 428 | x1: 0.629564 | x2: 0.747639
Iteracja: 429 | x1: 0.62877 | x2: 0.747275
Iteracja: 430 | x1: 0.627977 | x2: 0.746913
Iteracja: 431 | x1: 0.627184 | x2: 0.746552
Iteracja: 432 | x1: 0.626393 | x2: 0.746192
Iteracja: 433 | x1: 0.625602 | x2: 0.745833
Iteracja: 434 | x1: 0.624812 | x2: 0.745476
Iteracja: 435 | x1: 0.624022 | x2: 0.745121
Iteracja: 436 | x1: 0.623234 | x2: 0.744767
Iteracja: 437 | x1: 0.622446 | x2: 0.744414
Iteracja: 438 | x1: 0.621659 | x2: 0.744062
Iteracja: 439 | x1: 0.620873 | x2: 0.743712
Iteracja: 440 | x1: 0.620088 | x2: 0.743364
Iteracja: 441 | x1: 0.619304 | x2: 0.743016
Iteracja: 442 | x1: 0.61852 | x2: 0.74267
Iteracja: 443 | x1: 0.617737 | x2: 0.742326
Iteracja: 444 | x1: 0.616955 | x2: 0.741982
Iteracja: 445 | x1: 0.616174 | x2: 0.741641
Iteracja: 446 | x1: 0.615393 | x2: 0.7413
Iteracja: 447 | x1: 0.614614 | x2: 0.740961
Iteracja: 448 | x1: 0.613835 | x2: 0.740623
Iteracja: 449 | x1: 0.613057 | x2: 0.740287
Iteracja: 450 | x1: 0.61228 | x2: 0.739952
Iteracja: 451 | x1: 0.611503 | x2: 0.739618
Iteracja: 452 | x1: 0.610728 | x2: 0.739286
Iteracja: 453 | x1: 0.609953 | x2: 0.738955
Iteracja: 454 | x1: 0.609179 | x2: 0.738625
Iteracja: 455 | x1: 0.608406 | x2: 0.738297
Iteracja: 456 | x1: 0.607634 | x2: 0.73797
Iteracja: 457 | x1: 0.606862 | x2: 0.737644
Iteracja: 458 | x1: 0.606092 | x2: 0.73732
Iteracja: 459 | x1: 0.605322 | x2: 0.736997
Iteracja: 460 | x1: 0.604553 | x2: 0.736676
Iteracja: 461 | x1: 0.603785 | x2: 0.736355
Iteracja: 462 | x1: 0.603017 | x2: 0.736037
Iteracja: 463 | x1: 0.602251 | x2: 0.735719
Iteracja: 464 | x1: 0.601485 | x2: 0.735403
Iteracja: 465 | x1: 0.60072 | x2: 0.735088
Iteracja: 466 | x1: 0.599956 | x2: 0.734775
Iteracja: 467 | x1: 0.599193 | x2: 0.734462
Iteracja: 468 | x1: 0.59843 | x2: 0.734152
Iteracja: 469 | x1: 0.597669 | x2: 0.733842
Iteracja: 470 | x1: 0.596908 | x2: 0.733534
Iteracja: 471 | x1: 0.596148 | x2: 0.733227
Iteracja: 472 | x1: 0.595389 | x2: 0.732922
Iteracja: 473 | x1: 0.594631 | x2: 0.732617
Iteracja: 474 | x1: 0.593873 | x2: 0.732314
Iteracja: 475 | x1: 0.593116 | x2: 0.732013
Iteracja: 476 | x1: 0.592361 | x2: 0.731713
